"filename", "language", "OpenXml", "Python", "comment", "blank", "total"
"e:\Projects\Python\DocumentFiller\data\output\Proces verbal PIF-Nume complet.docx", "OpenXml", 62, 0, 0, 2, 64
"e:\Projects\Python\DocumentFiller\data\output\Proces verbal de predare primire Nume complet.docx", "OpenXml", 1197, 0, 0, 9, 1206
"e:\Projects\Python\DocumentFiller\data\output\Proces verbal de punere in functiune si probe de functionare injectie in retea Nume complet.docx", "OpenXml", 87, 0, 0, 1, 88
"e:\Projects\Python\DocumentFiller\data\template\Proces verbal PIF-[Nume].docx", "OpenXml", 4, 0, 0, 0, 4
"e:\Projects\Python\DocumentFiller\data\template\Proces verbal de predare primire [Nume].docx", "OpenXml", 10, 0, 0, 0, 10
"e:\Projects\Python\DocumentFiller\data\template\Proces verbal de punere in functiune si probe de functionare injectie in retea [Nume].docx", "OpenXml", -1, 0, 0, 0, -1
"e:\Projects\Python\DocumentFiller\src\Proces verbal de predare primire Output.docx", "OpenXml", -1186, 0, 0, -10, -1196
"e:\Projects\Python\DocumentFiller\src\backend\Table.py", "Python", 0, 14, 0, 9, 23
"e:\Projects\Python\DocumentFiller\src\backend\submit_handler.py", "Python", 0, 4, 0, 1, 5
"e:\Projects\Python\DocumentFiller\src\backend\tehnical_data_table.py", "Python", 0, 36, 0, 6, 42
"e:\Projects\Python\DocumentFiller\src\backend\word.py", "Python", 0, 11, 0, 3, 14
"e:\Projects\Python\DocumentFiller\src\frontend\CalendarEntry.py", "Python", 0, 50, 0, 16, 66
"e:\Projects\Python\DocumentFiller\src\frontend\DataSummary.py", "Python", 0, 9, 0, 1, 10
"e:\Projects\Python\DocumentFiller\src\frontend\DocumentsDataScene.py", "Python", 0, 0, 0, 1, 1
"e:\Projects\Python\DocumentFiller\src\frontend\PersonalDataScene.py", "Python", 0, 1, 0, 0, 1
"e:\Projects\Python\DocumentFiller\src\frontend\Scene.py", "Python", 0, 3, 0, 3, 6
"e:\Projects\Python\DocumentFiller\src\frontend\Signal.py", "Python", 0, 10, 0, 3, 13
"e:\Projects\Python\DocumentFiller\src\frontend\SummaryScene.py", "Python", 0, 36, 0, 13, 49
"e:\Projects\Python\DocumentFiller\src\frontend\TargetPlaceScene.py", "Python", 0, 25, 2, 7, 34
"e:\Projects\Python\DocumentFiller\src\test.py", "Python", 0, -30, -7, -8, -45
"e:\Projects\Python\DocumentFiller\src\test2.py", "Python", 0, 12, 7, 7, 26
"Total", "-", 173, 181, 2, 64, 420